ID,Supplier name,Document Date,Document Type,Total with Tax,Currency of Document,Paid,Entry Code
1079835,שליו טכנולוגיות מחשוב,19/08/2018,INVOICE,3264,ILS,Paid,"חס - מע""מ מלא"
1079846,"פלאפון תקשורת בע""מ",21/08/2018,INVOICE,1097.86,ILS,Unknown,"חס - 2/3 מע""מ"
1079847,"קי.אס.פי. מחשבים חולון בע""מ",26/08/2018,INVOICE,3185,ILS,Paid,"חס - מע""מ מלא - תשומות ציוד"
1079848,"קשרים פלוס בע""מ",30/08/2018,INVOICE,713,ILS,Unknown,"מע""מ 0%"
1079849,Credimatch Software Ltd,31/08/2018,INVOICE,468,ILS,Paid,"חס - מע""מ מלא"
1079850,"פנגו פיי אנד גו בע""מ",26/08/2018,INVOICE,5.9,ILS,Paid,"חס - מע""מ מלא"
1079851,"פנגו פיי אנד גו בע""מ",26/08/2018,INVOICE,5.9,ILS,Paid,"חס - מע""מ מלא"
1079852,"פנגו פיי אנד גו בע""מ",26/08/2018,INVOICE,83.61,ILS,Paid,"חס - מע""מ מלא"
1079853,"חברת פרטנר תקשורת בע""מ",19/08/2018,INVOICE,65.44,ILS,Unknown,"חס - 2/3 מע""מ"
1079854,CAR2GO,31/08/2018,INVOICE,1818.26,ILS,Unknown,"מע""מ 0%"
1079855,"חברת פרטנר תקשורת בע""מ",01/08/2018,INVOICE,90105.53,ILS,Unknown,"חס - מע""מ מלא"
1079866,"מיטב ניקיון ואחזקה בע""מ",07/08/2018,INVOICE,5279.3,ILS,Unknown,"חס - מע""מ מלא"
1079867,מיצד פתרונות מחשוב,07/08/2018,INVOICE,1635.5,ILS,Unknown,"חס - מע""מ מלא"
1079868,"מיטב ניקיון ואחזקה בע""מ",07/08/2018,INVOICE,1381.5,ILS,Unknown,"חס - מע""מ מלא"
1079869,"ממסרית השקעות ופיננסים בע""מ",12/08/2018,INVOICE,7605,ILS,Unknown,"חס - מע""מ מלא"
1079870,"מיטב ניקיון ואחזקה בע""מ",06/08/2018,INVOICE,351,ILS,Unknown,"חס - מע""מ מלא"
1079871,ניר נגר,19/08/2018,INVOICE,376.8,ILS,Unknown,"חס - מע""מ מלא"
1079873,"013 נטוויז'ן בע""מ",31/07/2018,INVOICE,0.76,ILS,Unknown,"חס - מע""מ מלא"
1079874," סלקום ישראל בע""מ",02/08/2018,Refund - חשבונית זיכוי,100.55,ILS,Unknown,"חס - 2/3 מע""מ"
1079884,"מיטב ניקיון ואחזקה בע""מ",07/08/2018,INVOICE,1640.6,ILS,Unknown,"חס - מע""מ מלא"
1079886,מאה הפקה והוצאה לאור ,19/08/2018,INVOICE,293,ILS,Unknown,"חס - מע""מ מלא"
1079887,"ליסקאר רם בע""מ",09/08/2018,INVOICE,11.38,ILS,Unknown,"מע""מ 0%"
1079888,"ליסקאר רם בע""מ",09/08/2018,INVOICE,1714.47,ILS,Unknown,"מע""מ 0%"
1079889,"ליסקאר רם בע""מ",09/08/2018,INVOICE,1676.12,ILS,Unknown,"מע""מ 0%"
1079890,סאב-קיי,09/08/2018,INVOICE,443.17,ILS,Unknown,"חס - מע""מ מלא"
1079891,מוסך ואן מוטורס 2011,02/08/2018,INVOICE,1288,ILS,Unknown,"חס - 1/4 מע""מ"
1079892,"לסה ויז'ן בע""מ",15/08/2018,INVOICE,398,ILS,Unknown,"חס - מע""מ מלא"
1079897,"מהלב המרכז הישראלי לנגישות בתקשורת בע""מ",19/08/2018,INVOICE,3744,ILS,Unknown,"חס - מע""מ מלא"
1079899," מד 1 אי.סי.-1 (1999) בע""מ",30/08/2018,INVOICE,6003.47,ILS,Unknown,"חס - מע""מ מלא"
1079901," מד 1 אי.סי.-1 (1999) בע""מ",19/08/2018,INVOICE,19575.76,ILS,Unknown,"חס - מע""מ מלא"
1079906,"י.פרל ושות' בע""מ",05/08/2018,INVOICE,9203,ILS,Unknown,"חס - מע""מ מלא"
1079907,"טריפל סי מחשוב ענן בע""מ",20/08/2018,INVOICE,555,ILS,,"חס - מע""מ מלא"
1079908,כוכבית פלוס *8077,01/08/2018,INVOICE,678.6,ILS,Unknown,"חס - מע""מ מלא"
1079909,"חברת החשמל לישראל בע""מ",07/08/2018,INVOICE,1367.81,ILS,Unknown,"חס - מע""מ מלא"
1079910,"טמפו שווק (1981) בע""מ",14/08/2018,INVOICE,1934.53,ILS,Paid,"מע""מ 0%"
1079911,"חברת החשמל לישראל בע""מ",16/08/2018,INVOICE,5844.11,ILS,Unknown,"חס - מע""מ מלא"
1079926,"דאלאס מוצרי נייר בע""מ",26/08/2018,INVOICE,784,ILS,Unknown,"חס - מע""מ מלא"
1079927,"וואלי מדבקות בע""מ",16/08/2018,INVOICE,110,ILS,,"חס - מע""מ מלא"
1079928,"זיג זג שרותי דיוור ולוגיסטיקה בע""מ",31/08/2018,INVOICE,3010.4,ILS,Unknown,"חס - מע""מ מלא"
1079929,"הוט מובייל בע""מ",14/08/2018,INVOICE,586.75,ILS,Unknown,"חס - מע""מ מלא"
1079930," וואן סמבה פתרונות מחישוב ותקשורת בע""מ",01/08/2018,INVOICE,1615,ILS,Unknown,"חס - מע""מ מלא"
1079931,הוט טלקום שותפות מוגבלת,31/08/2018,INVOICE,274.95,ILS,Unknown,"חס - מע""מ מלא"
1079932,הוט טלקום שותפות מוגבלת,31/08/2018,INVOICE,1578.33,ILS,Unknown,"חס - מע""מ מלא"
1079933,הוט טלקום שותפות מוגבלת,31/08/2018,INVOICE,368191.67,ILS,Unknown,"חס - מע""מ מלא"
1079934,"הוט מובייל בע""מ",14/08/2018,INVOICE,1750.1,ILS,Unknown,"חס - מע""מ מלא"
1079935,"הוט מובייל בע""מ",06/08/2018,INVOICE,4124.55,ILS,Unknown,"חס - מע""מ מלא"
1079946,"ג.ש. ניצוץ בע""מ",26/08/2018,INVOICE,8240,ILS,Unknown,"חס - מע""מ מלא"
1079948,"דאלאס מוצרי נייר בע""מ",12/08/2018,INVOICE,615,ILS,Unknown,"חס - מע""מ מלא"
1079949,"גט טראפיק בע""מ",10/08/2018,INVOICE,16180,ILS,Unknown,"חס - מע""מ מלא"
1079950,"ברינגוז טכנולוגיות בע""מ",30/08/2018,INVOICE,147.83,ILS,Unknown,"חס - מע""מ מלא"
1079951,"ג'מס מפעלי בירה בע""מ",02/08/2018,INVOICE,674,ILS,,"מע""מ 0%"
1079952,"ג'מס מפעלי בירה בע""מ",19/08/2018,INVOICE,1237,ILS,Unknown,"מע""מ 0%"
1079953,"גטר גרופ בע""מ",16/08/2018,INVOICE,6161.45,ILS,Unknown,"חס - מע""מ מלא"
1079954,"גטר גרופ בע""מ",01/08/2018,INVOICE,8809.67,ILS,Unknown,"חס - מע""מ מלא"
